Date,Close,MA_20,MA_50
2022-07-08,435.0,452.375,749.27
2022-07-11,430.0,448.375,559.57
2022-07-12,410.0,445.5,544.77
2022-07-13,400.0,443.75,534.27
2022-07-14,405.0,443.125,527.27
2022-07-15,410.0,440.75,511.72
2022-07-18,420.0,439.375,501.12
2022-07-19,420.0,437.25,493.02
2022-07-20,427.5,435.0,486.42
2022-07-21,420.0,432.875,481.72
2022-07-22,405.0,427.0,477.22
2022-07-25,395.0,423.125,474.02
2022-07-26,397.5,419.5625,471.17
2022-07-27,397.5,417.6875,466.82
2022-07-28,427.5,418.0625,463.67
2022-07-29,415.0,417.9375,460.37
2022-08-01,440.0,418.4375,456.225
2022-08-02,687.5,430.1875,458.3
2022-08-03,617.5,439.625,459.75
2022-08-04,493.75,442.6875,459.275
2022-08-05,537.5,447.8125,460.775
2022-08-08,700.0,461.3125,465.225
2022-08-09,552.5,468.4375,466.425
2022-08-10,585.0,477.6875,467.525
2022-08-11,550.0,484.9375,468.325
2022-08-12,557.5,492.3125,469.175
2022-08-15,565.0,499.5625,470.225
2022-08-16,587.5,507.9375,471.975
2022-08-17,582.5,515.6875,473.825
2022-08-18,572.5,523.3125,475.525
2022-08-19,565.0,531.3125,476.425
2022-08-22,535.0,538.3125,476.925
2022-08-23,480.0,542.4375,477.175
2022-08-24,487.5,546.9375,478.225
2022-08-25,492.5,550.1875,479.725
2022-08-26,475.0,553.1875,480.075
2022-08-29,482.5,555.3125,480.775
2022-08-30,467.5,544.3125,480.875
2022-08-31,502.5,538.5625,481.475
2022-09-01,430.0,535.375,480.825
2022-09-02,431.25,530.0625,479.0
2022-09-06,435.0,516.8125,478.25
2022-09-07,427.5,510.5625,477.425
2022-09-08,430.0,502.8125,477.325
2022-09-09,432.5,496.9375,477.575
2022-09-12,420.0,490.0625,477.625
2022-09-13,385.0,481.0625,476.725
2022-09-14,382.5,470.8125,475.325
2022-09-15,367.5,460.0625,474.1
2022-09-16,365.0,449.6875,472.75
2022-09-19,350.0,438.9375,471.05
2022-09-20,340.0,429.1875,469.25
2022-09-21,345.0,422.4375,467.95
2022-09-22,322.5,414.1875,466.4
2022-09-23,310.0,405.0625,464.5
2022-09-26,297.5,396.1875,462.25
2022-09-27,290.0,386.5625,459.65
2022-09-28,307.5,378.5625,457.4
2022-09-29,290.0,367.9375,454.65
2022-09-30,287.5,360.8125,452.0
2022-10-03,305.0,354.5,450.0
2022-10-04,315.0,348.5,448.4
2022-10-05,310.0,342.625,446.65
2022-10-06,310.0,336.625,444.9
2022-10-07,292.5,329.625,442.2
2022-10-10,282.5,322.75,439.55
2022-10-11,270.0,317.0,436.15
2022-10-12,260.0,310.875,427.6
2022-10-13,267.5,305.875,420.6
2022-10-14,255.0,300.375,415.825
2022-10-17,260.0,295.875,410.275
